Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price
"1","0","Sign in Blood","Magic 2011","117","","","","","","","","","",""
"4","0","Yarok's Fenlurker","Core Set 2020","123","","","","","","","","","",""
"1","0","Fertilid","Archenemy","54","","","","","","","","","",""
"1","0","Riveteers Overlook","Streets of New Capenna","255","","","","","","","","","",""
"1","0","Dream Fracture","Eventide","19","","","","","","","","","",""
"1","0","Hostile Takeover","Streets of New Capenna","191","","","foil","","","","","","",""
"3","0","Sign in Blood","Magic 2015 Core Set","114","","","","","","","","","",""
"1","0","Silverbluff Bridge","Modern Horizons 2","255","","","","","","","","","",""
"1","0","Arlinn, Voice of the Pack","The List","545","","","","","","","","","",""
"1","0","Bloodtithe Harvester","Innistrad: Crimson Vow","232","","","","","","","","","",""
"1","0","Cadira, Caller of the Small","Commander Legends: Battle for Baldur's Gate","528","","","foil","","","","","","",""
"1","0","Cast Down","Dominaria","81","","","","","","","","","",""
"3","0","Creeping Chill","Guilds of Ravnica","66","","","","","","","","","",""
"1","0","Damnable Pact","Innistrad: Crimson Vow Commander","126","","","","","","","","","",""
"1","0","Despoiler of Souls","Duel Decks: Nissa vs. Ob Nixilis","45","","","","","","","","","",""
"4","0","Dwynen's Elite","Magic Origins","173","","","","","","","","","",""
"4","0","Empyrean Eagle","Core Set 2020","208","","","","","","","","","",""
"1","0","Falkenrath Noble","Innistrad: Crimson Vow Commander","128","","","","","","","","","",""
"1","0","Gelatinous Cube","Adventures in the Forgotten Realms","105","","","","","","","","","",""
"3","0","Heartless Act","Ikoria: Lair of Behemoths","91","","","","","","","","","",""
"2","0","Liliana's Triumph","War of the Spark","98","","","","","","","","","",""
"1","0","Monastery Swiftspear","The Brothers' War","144","","","","","","","","","",""
"1","0","Mountain","Battle for Zendikar","267","","","","","","","","","",""
"1","0","Nissa's Pilgrimage","Magic Origins","190","","","","","","","","","",""
"1","0","Pooling Venom","Future Sight","74","","","","","","","","","",""
"1","0","Scion of Opulence","Innistrad: Crimson Vow Commander","28","","","","","","","","","",""
"2","0","Searing Blood","Born of the Gods","111","","","","","","","","","",""
"1","0","Serpent's Soul-Jar","Kaldheim Commander","11","","","","","","","","","",""
"1","0","Sinister Waltz","Innistrad: Crimson Vow Commander","30","","","","","","","","","",""
"4","0","Spectral Sailor","Core Set 2020","76","","","","","","","","","",""
"1","0","Swirling Sandstorm","Judgment","102","","","","","","","","","",""
"1","0","Thran Power Suit","The Brothers' War","253","","","","","","","","","",""
"1","0","Underworld Connections","Innistrad: Crimson Vow Commander","138","","","","","","","","","",""
"1","0","Urza Assembles the Titans","Dominaria United","37","","","","","","","","","",""
"3","0","Wanderer's Twig","Lorwyn","265","","","","","","","","","",""
"4","0","Watcher of the Spheres","Core Set 2021","227","","","","","","","","","",""
"1","0","Archangel of Wrath","Dominaria United","3","","","","","","","","","",""
"3","0","Bump in the Night","Innistrad","92","","","","","","","","","",""
"2","0","Electrickery","Return to Ravnica","93","","","","","","","","","",""
"4","0","Geistlight Snare","Innistrad: Crimson Vow","60","","","","","","","","","",""
"1","0","Obliterating Bolt","The Brothers' War","145","","","","","","","","","",""
"1","0","Pestilence","Fifth Edition","186","","","","","","","","","",""
"1","0","Runeforge Champion","Kaldheim","26","","","","","","","","","",""
"4","0","Drossforge Bridge","Modern Horizons 2","246","","","","","","","","","",""
"1","0","Fangorn, Tree Shepherd","The Lord of the Rings: Tales of Middle-earth","166","","","","","","","","","",""
"1","0","Joint Exploration","Dominaria United","56","","","","","","","","","",""
"1","0","Presence of Gond","Shadowmoor","125","","","","","","","","","",""
"2","0","Serene Heart","Mirage","242","","","","","","","","","",""
"1","0","Arlinn, Voice of the Pack","War of the Spark","150","","","","","","","","","",""
"4","0","Banishing Knack","Eventide","17","","","","","","","","","",""
"1","0","Carnelian Orb of Dragonkind","Commander Legends: Battle for Baldur's Gate","166","","","","","","","","","",""
"1","0","Haunted Mire","Dominaria United","248","","","","","","","","","",""
"1","0","Shadowblood Ridge","Innistrad: Crimson Vow Commander","181","","","","","","","","","",""
"4","0","Spinning Darkness","Weatherlight","81","","","","","","","","","",""
"1","0","Mind Flayer","Commander Legends: Battle for Baldur's Gate","728","","","","","","","","","",""
"2","0","Ravenform","Kaldheim","72","","","","","","","","","",""
"4","0","Alms of the Vein","Shadows over Innistrad","98","","","","","","","","","",""
"1","0","Arterial Alchemy","Innistrad: Crimson Vow Commander","23","","","","","","","","","",""
"2","0","Blanchwood Armor","The Brothers' War","384","","","","","","","","","",""
"1","0","Bloodsworn Steward","Innistrad: Crimson Vow Commander","144","","","","","","","","","",""
"1","0","Bloodtracker","Innistrad: Crimson Vow Commander","122","","","","","","","","","",""
"1","0","Celebr-8000","Unfinity","185","","","","","","","","","",""
"3","0","Cling to Dust","Theros Beyond Death","87","","","","","","","","","",""
"4","0","Cuombajj Witches","Chronicles","31","","","","","","","","","",""
"1","0","Dispel","Battle for Zendikar","76","","","","","","","","","",""
"1","0","Dispel","Return to Ravnica","36","","","","","","","","","",""
"1","0","Duress","Duel Decks Anthology, Divine vs. Demonic","46","","","","","","","","","",""
"1","0","Falkenrath Forebear","Innistrad: Crimson Vow","291","","","","","","","","","",""
"1","0","Gluntch, the Bestower","Commander Legends: Battle for Baldur's Gate","275","","","","","","","","","",""
"1","0","Judith, the Scourge Diva","Multiverse Legends","45","","","","","","","","","",""
"1","0","Laurine, the Diversion","Innistrad: Crimson Vow Commander","25","","","","","","","","","",""
"1","0","Markov Enforcer","Innistrad: Crimson Vow Commander","26","","","","","","","","","",""
"1","0","Monoskelion","Modern Horizons 2","429e","","","","","","","","","",""
"2","0","Noxious Grasp","Core Set 2020","110","","","","","","","","","",""
"1","0","Over the Top","The Brothers' War","146","","","","","","","","","",""
"2","0","Pieces of the Puzzle","Shadows over Innistrad","78","","","","","","","","","",""
"1","0","Rakdos Carnarium","Innistrad: Crimson Vow Commander","180","","","","","","","","","",""
"2","0","Rakdos Carnarium","Double Masters 2022","329","","","","","","","","","",""
"1","0","Remorseful Cleric","Innistrad: Crimson Vow Commander","97","","","","","","","","","",""
"1","0","Reroute","Ravnica: City of Guilds","139","","","","","","","","","",""
"1","0","Snowfield Sinkhole","Kaldheim","269","","","","","","","","","",""
"1","0","Sunlit Marsh","Dominaria United","257","","","","","","","","","",""
"4","0","Triclopean Sight","Lorwyn","45","","","","","","","","","",""
"1","0","Tymaret, Chosen from Death","Theros Beyond Death","263","","","foil","","","","","","",""
"4","0","Unexpected Fangs","Ikoria: Lair of Behemoths","102","","","","","","","","","",""
"1","0","Vampiric Dragon","Innistrad: Crimson Vow Commander","158","","","","","","","","","",""
"4","0","Voldaren Epicure","Innistrad: Crimson Vow","182","","","","","","","","","",""
"1","0","Widespread Thieving","Streets of New Capenna","130","","","","","","","","","",""
"1","0","Withstand Death","Scars of Mirrodin","134","","","","","","","","","",""
"1","0","Wyll, Blade of Frontiers","Commander Legends: Battle for Baldur's Gate","208","","","","","","","","","",""
"4","0","Behold the Multiverse","Kaldheim","46","","","","","","","","","",""
"1","0","Crimson Honor Guard","Innistrad: Crimson Vow Commander","145","","","","","","","","","",""
"1","0","Druid of the Anima","Shards of Alara","128","","","","","","","","","",""
"1","0","Exotic Orchard","Dominaria United Commander","209","","","","","","","","","",""
"1","0","Golgari Brownscale","Ravnica: City of Guilds","166","","","","","","","","","",""
"1","0","Invasion of Zendikar // Awakened Skyclave","March of the Machine","194","","","","","","","","","",""
"1","0","Jaspera Sentinel","Kaldheim","178","","","foil","","","","","","",""
"1","0","Mnemonic Nexus","Ravnica: City of Guilds","59","","","","","","","","","",""
"1","0","Myriad Landscape","Innistrad: Crimson Vow Commander","176","","","","","","","","","",""
"1","0","Sacred Peaks","Dominaria United","254","","","","","","","","","",""
"1","0","Seize the Spoils","Kaldheim","149","","","","","","","","","",""
"1","0","Soot Imp","Eventide","43","","","","","","","","","",""
"1","0","Stensia Uprising","Innistrad: Crimson Vow","178","","","","","","","","","",""
"1","0","Stoneskin","Commander Legends: Battle for Baldur's Gate","45","","","","","","","","","",""
"1","0","Tangled Islet","Dominaria United","258","","","","","","","","","",""
"1","0","Tocasia, Dig Site Mentor","The Brothers' War","224","","","","","","","","","",""
"1","0","Winged Portent","Innistrad: Crimson Vow","89","","","","","","","","","",""
"1","0","Ancient Craving","Innistrad: Crimson Vow Commander","117","","","","","","","","","",""
"1","0","Avacyn's Judgment","Innistrad: Crimson Vow Commander","142","","","","","","","","","",""
"2","0","Bloodfell Caves","Commander 2017","236","","","","","","","","","",""
"1","0","Falkenrath Gorger","Innistrad: Crimson Vow Commander","146","","","","","","","","","",""
"1","0","Hallow","Darksteel","4","","","","","","","","","",""
"1","0","Hero's Downfall","Innistrad: Crimson Vow","120","","","","","","","","","",""
"3","0","Isolate","Pioneer Challenger Decks 2021","3","","","","","","","","","",""
"1","0","Mountain","Innistrad: Crimson Vow","275","","","","","","","","","",""
"1","0","Negate","Morningtide","43","","","","","","","","","",""
"1","0","Prismite","Core Set 2020","235","","","foil","","","","","","",""
"1","0","Reclaim","Seventh Edition","263","","","","","","","","","",""
"1","0","Vex","Darksteel","36","","","","","","","","","",""
"1","0","Charcoal Diamond","Innistrad: Crimson Vow Commander","162","","","","","","","","","",""
"1","0","Explore","Jumpstart","393","","","","","","","","","",""
"1","0","Izzet Boilerworks","Double Masters 2022","326","","","","","","","","","",""
"1","0","Molten Tributary","Dominaria United","251","","","","","","","","","",""
"2","0","Radiant Grove","Dominaria United","253","","","","","","","","","",""
"2","0","Soul-Guide Lantern","The Brothers' War Retro Artifacts","54","","","","","","","","","",""
"1","0","Abomination of Llanowar","Commander Legends","265","","","","","","","","","",""
"1","0","Abrade","Innistrad: Crimson Vow","139","","","","","","","","","",""
"2","0","Aether Web","Time Spiral","189","","","","","","","","","",""
"1","0","Alchemist's Retrieval","Innistrad: Crimson Vow","47","","","","","","","","","",""
"1","0","Ambitious Dragonborn","Commander Legends: Battle for Baldur's Gate","213","","","foil","","","","","","",""
"1","0","Armorcraft Judge","Kaladesh","144","","","","","","","","","",""
"1","0","Baba Lysaga, Night Witch","Commander Legends: Battle for Baldur's Gate","266","","","","","","","","","",""
"2","0","Bladestitched Skaab","Innistrad: Midnight Hunt","212","","","","","","","","","",""
"1","0","Blizzard Brawl","Kaldheim","162","","","","","","","","","",""
"2","0","Bloodfell Caves","Core Set 2021","243","","","","","","","","","",""
"1","0","Breath Weapon","Commander Legends: Battle for Baldur's Gate","165","","","","","","","","","",""
"1","0","Cacophony Scamp","Phyrexia: All Will Be One","124","","","","","","","","","",""
"1","0","Cast Down","Commander Legends","112","","","","","","","","","",""
"1","0","Cast Down","Commander Legends: Battle for Baldur's Gate","119","","","","","","","","","",""
"3","0","Cathartic Reunion","Ikoria: Lair of Behemoths","110","","","","","","","","","",""
"1","0","Cathartic Reunion","Kaladesh","109","","","","","","","","","",""
"1","0","Chaotic Backlash","Eventide","49","","","","","","","","","",""
"1","0","Children of Korlis","Time Spiral Remastered","14","","","","","","","","","",""
"4","0","Cinder Barrens","Core Set 2019","248","","","","","","","","","",""
"2","0","Cloudchaser Kestrel","Time Spiral","10","","","","","","","","","",""
"1","0","Coiling Oracle","Double Masters 2022","194","","","","","","","","","",""
"1","0","Commander's Sphere","Commander 2021","239","","","","","","","","","",""
"1","0","Commander's Sphere","Innistrad: Crimson Vow Commander","163","","","","","","","","","",""
"1","0","Courier's Briefcase","Streets of New Capenna","467","","","","","","","","","",""
"1","0","Craven Hulk","Kaldheim","127","","","foil","","","","","","",""
"1","0","Crawling Infestation","Innistrad: Crimson Vow","193","","","","","","","","","",""
"4","0","Desert of the Glorified","Hour of Devastation","171","","","","","","","","","",""
"1","0","Destined // Lead","Amonkhet","217","","","","","","","","","",""
"1","0","Detainment Spell","Time Spiral","12","","","","","","","","","",""
"1","0","Devout Decree","Core Set 2020","13","","","","","","","","","",""
"3","0","Disfigure","Core Set 2020","95","","","","","","","","","",""
"1","0","Dormant Grove // Gnarled Grovestrider","Innistrad: Crimson Vow","198","","","","","","","","","",""
"2","0","Drag to the Underworld","Theros Beyond Death","89","","","","","","","","","",""
"4","0","Dusk Legion Zealot","Rivals of Ixalan","70","","","","","","","","","",""
"1","0","Elderfang Ritualist","Kaldheim","385","","","","","","","","","",""
"2","0","Electrostatic Infantry","Dominaria United","122","","","","","","","","","",""
"1","0","Elvish Eulogist","Lorwyn","205","","","","","","","","","",""
"4","0","Epic Downfall","Throne of Eldraine","85","","","","","","","","","",""
"1","0","Eureka Moment","Strixhaven: School of Mages","184","","","","","","","","","",""
"1","0","Evolved Spinoderm","Phyrexia: All Will Be One","166","","","","","","","","","",""
"4","0","Evolving Wilds","Ikoria: Lair of Behemoths","247","","","","","","","","","",""
"1","0","Fearless Liberator","Kaldheim","135","","","","","","","","","",""
"4","0","Fiery Temper","Shadows over Innistrad","156","","","","","","","","","",""
"1","0","Firebolt","Eternal Masters","130","","","","","","","","","",""
"2","0","Fog","Magic 2014 Core Set","171","","","","","","","","","",""
"1","0","Forging the Tyrite Sword","Kaldheim","211","","","","","","","","","",""
"4","0","Foulmire Knight // Profane Insight","Throne of Eldraine","90","","","","","","","","","",""
"1","0","Gilt-Leaf Ambush","Lorwyn","214","","","","","","","","","",""
"1","0","Gnottvold Slumbermound","Kaldheim","258","","","","","","","","","",""
"1","0","Gods Willing","Double Masters 2022","12","","","","","","","","","",""
"2","0","Goldmeadow Harrier","Lorwyn","17","","","","","","","","","",""
"1","0","Goldvein Pick","Kaldheim","239","","","","","","","","","",""
"1","0","Gothmog, Morgul Lieutenant","The Lord of the Rings: Tales of Middle-earth","429","","","","","","","","","",""
"1","0","Grasp of Darkness","Game Night 2019","30","","","","","","","","","",""
"1","0","Greenseeker","Time Spiral","198","","","","","","","","","",""
"4","0","Grimdancer","Ikoria: Lair of Behemoths","90","","","","","","","","","",""
"1","0","Healer of the Glade","Core Set 2020","176","","","","","","","","","",""
"1","0","Incriminate","Streets of New Capenna","465","","","","","","","","","",""
"1","0","Into the Night","Innistrad: Crimson Vow","163","","","","","","","","","",""
"1","0","Invasion of Amonkhet // Lazotep Convert","March of the Machine","231","","","","","","","","","",""
"1","0","Jade Orb of Dragonkind","Commander Legends: Battle for Baldur's Gate","236","","","","","","","","","",""
"1","0","Jan Jansen, Chaos Crafter","Commander Legends: Battle for Baldur's Gate","277","","","","","","","","","",""
"4","0","Kitesail Freebooter","Core Set 2021","107","","","","","","","","","",""
"1","0","Knight of Dusk's Shadow","Dominaria United","96","","","","","","","","","",""
"1","0","Light 'Em Up","Streets of New Capenna","466","","","","","","","","","",""
"1","0","Liquimetal Coating","The Brothers' War Retro Artifacts","28","","","","","","","","","",""
"1","0","Llanowar Behemoth","Weatherlight","132","","","","","","","","","",""
"4","0","Lofty Denial","Core Set 2021","56","","","","","","","","","",""
"1","0","Lunarch Veteran // Luminous Phantom","Innistrad: Midnight Hunt","27","","","","","","","","","",""
"1","0","Meeting of Minds","March of the Machine","66","","","","","","","","","",""
"1","0","Merrow Levitator","Eventide","26","","","","","","","","","",""
"1","0","Midnight Arsonist","Innistrad: Crimson Vow Commander","27","","","","","","","","","",""
"2","0","Mine Excavation","Shadowmoor","13","","","","","","","","","",""
"1","0","Mishra's Factory","Modern Horizons 2","302","","","","","","","","","",""
"1","0","Mountain","Innistrad: Crimson Vow","274","","","","","","","","","",""
"1","0","Narfi, Betrayer King","Kaldheim","224","","","","","","","","","",""
"2","0","Negate","March of the Machine","68","","","","","","","","","",""
"1","0","Nissa's Triumph","War of the Spark","170","","","","","","","","","",""
"1","0","Non-Human Cannonball","Unfinity","115","","","foil","","","","","","",""
"1","0","Opt","Core Set 2021","59","","","","","","","","","",""
"1","0","Overwhelming Remorse","The Brothers' War","110","","","","","","","","","",""
"1","0","Packsong Pup","Innistrad: Crimson Vow","213","","","","","","","","","",""
"1","0","Pendelhaven Elder","Time Spiral","209","","","","","","","","","",""
"1","0","Phantom Wurm","Time Spiral","211","","","","","","","","","",""
"1","0","Phyrexian Rager","Commander Anthology","62","","","","","","","","","",""
"1","0","Pristine Talisman","The Brothers' War Retro Artifacts","43","","","","","","","","","",""
"1","0","Prizefight","Streets of New Capenna","154","","","","","","","","","",""
"1","0","Radha's Firebrand","Dominaria United","141","","","","","","","","","",""
"1","0","Rakish Heir","Innistrad: Crimson Vow Commander","149","","","","","","","","","",""
"1","0","Ravenous Lindwurm","Kaldheim","187","","","foil","","","","","","",""
"1","0","Riveteers Charm","Streets of New Capenna","217","","","","","","","","","",""
"1","0","Riveteers Decoy","Streets of New Capenna","156","","","foil","","","","","","",""
"1","0","Sarulf's Packmate","Kaldheim","192","","","foil","","","","","","",""
"1","0","Scion of Halaster","Commander Legends: Battle for Baldur's Gate","498","","","foil","","","","","","",""
"1","0","Scouting Hawk","Commander Legends: Battle for Baldur's Gate","41","","","foil","","","","","","",""
"2","0","Seal Away","Dominaria","31","","","","","","","","","",""
"1","0","Seal from Existence","March of the Machine","35","","","","","","","","","",""
"1","0","Shenanigans","Modern Horizons","146","","","","","","","","","",""
"1","0","Shepherd of the Cosmos","Kaldheim","28","","","","","","","","","",""
"2","0","Silkwrap","Pioneer Challenger Decks 2021","4","","","","","","","","","",""
"1","0","Skeleton Archer","Double Masters 2022","90","","","foil","","","","","","",""
"1","0","Skemfar Shadowsage","Kaldheim","110","","","","","","","","","",""
"1","0","Slaughter the Strong","Commander Legends: Battle for Baldur's Gate","43","","","","","","","","","",""
"1","0","Smash to Dust","Dominaria United","144","","","","","","","","","",""
"1","0","Snakeskin Veil","Kaldheim","194","","","","","","","","","",""
"1","0","Sorin's Thirst","Core Set 2020","325","","","","","","","","","",""
"4","0","Spell Pierce","Ixalan","81","","","","","","","","","",""
"1","0","Stensia Masquerade","Innistrad: Crimson Vow Commander","150","","","","","","","","","",""
"1","0","Sticky Fingers","Streets of New Capenna","124","","","","","","","","","",""
"1","0","Strefan, Maurer Progenitor","Crimson Vow Display Commanders","2","","","","","","","","","",""
"1","0","Stromkirk Condemned","Innistrad: Crimson Vow Commander","137","","","","","","","","","",""
"1","0","Stromkirk Occultist","Innistrad: Crimson Vow Commander","151","","","","","","","","","",""
"1","0","Supreme Will","Hour of Devastation","49","","","","","","","","","",""
"2","0","Tail Swipe","Dominaria United","182","","","","","","","","","",""
"1","0","Temple of the False God","Innistrad: Crimson Vow Commander","187","","","","","","","","","",""
"2","0","Temporal Isolation","Time Spiral","43","","","","","","","","","",""
"1","0","Tenth District Legionnaire","War of the Spark","222","","","","","","","","","",""
"1","0","Tergrid's Shadow","Kaldheim","113","","","","","","","","","",""
"1","0","Thornmantle Striker","Kaldheim","387","","","","","","","","","",""
"4","0","Thought Distortion","Core Set 2020","117","","","","","","","","","",""
"6","0","Thriving Isle","Jumpstart","36","","","","","","","","","",""
"1","0","Tilling Treefolk","Eventide","78","","","","","","","","","",""
"1","0","Truss, Chief Engineer","Unfinity","181","","","","","","","","","",""
"2","0","Twinferno","Dominaria United","149","","","","","","","","","",""
"1","0","Unstable Obelisk","Innistrad: Crimson Vow Commander","170","","","","","","","","","",""
"1","0","Urge to Feed","Innistrad: Crimson Vow Commander","139","","","","","","","","","",""
"1","0","Vampire Nighthawk","Innistrad: Crimson Vow Commander","140","","","","","","","","","",""
"4","0","Vampire's Kiss","Innistrad: Crimson Vow","136","","","","","","","","","",""
"1","0","Vega, the Watcher","Kaldheim","233","","","","","","","","","",""
"1","0","Veteran of the Depths","Lorwyn","46","","","","","","","","","",""
"2","0","Warlock Class","Adventures in the Forgotten Realms","125","","","","","","","","","",""
"1","0","Windrider Wizard","Zendikar Rising","87","","","","","","","","","",""
"1","0","Wooded Ridgeline","Dominaria United","260","","","","","","","","","",""
"1","0","Woodland Champion","Core Set 2020","205","","","","","","","","","",""
"4","0","Amrou Seekers","Time Spiral","2","","","","","","","","","",""
"2","0","Ardent Elementalist","Innistrad: Midnight Hunt","128","","","","","","","","","",""
"1","0","Ballynock Trapper","Eventide","2","","","","","","","","","",""
"1","0","Burnished Hart","Commander Legends: Battle for Baldur's Gate","303","","","","","","","","","",""
"1","0","Crystal Grotto","Dominaria United","246","","","","","","","","","",""
"1","0","D'Avenant Healer","Time Spiral","11","","","","","","","","","",""
"2","0","Dawnhart Rejuvenator","Innistrad: Midnight Hunt","301","","","foil","","","","","","",""
"4","0","Diabolic Edict","Modern Horizons","87","","","","","","","","","",""
"2","0","Drownyard Amalgam","Innistrad: Midnight Hunt","50","","","foil","","","","","","",""
"2","0","Elvish Branchbender","Lorwyn","204","","","","","","","","","",""
"1","0","Evolving Wilds","Innistrad: Crimson Vow","263","","","","","","","","","",""
"1","0","Foray of Orcs","The Lord of the Rings: Tales of Middle-earth","128","","","foil","","","","","","",""
"1","0","Infiltrator's Magemark","Guildpact","28","","","","","","","","","",""
"1","0","Jungle Hollow","March of the Machine","270","","","","","","","","","",""
"4","0","Llanowar Empath","Future Sight","130","","","","","","","","","",""
"1","0","Mending Hands","Betrayers of Kamigawa","15","","","","","","","","","",""
"1","0","Mortal's Resolve","Born of the Gods","127","","","","","","","","","",""
"1","0","Negate","Dominaria United","58","","","","","","","","","",""
"1","0","Return Upon the Tide","Kaldheim","106","","","","","","","","","",""
"1","0","Ringskipper","Lorwyn","81","","","","","","","","","",""
"2","0","Soaring Hope","Lorwyn","40","","","","","","","","","",""
"1","0","Stromkirk Bloodthief","Innistrad: Midnight Hunt","123","","","","","","","","","",""
"1","0","Sunlance","Planar Chaos","31","","","","","","","","","",""
"2","0","Surge of Thoughtweft","Lorwyn","43","","","","","","","","","",""
"1","0","Thrive","Dissension","98","","","","","","","","","",""
"1","0","Unsummon","Core Set 2020","78","","","","","","","","","",""
"1","0","Apothecary Initiate","Shadowmoor","1","","","","","","","","","",""
"1","0","Dwarven Hammer","Kaldheim","133","","","","","","","","","",""
"1","0","Foriysian Interceptor","Time Spiral","18","","","","","","","","","",""
"2","0","Glass Asp","Time Spiral","197","","","","","","","","","",""
"1","0","Glimpse the Cosmos","Kaldheim","60","","","","","","","","","",""
"1","0","Greater Mossdog","Ravnica: City of Guilds","169","","","","","","","","","",""
"1","0","Inquisitor's Snare","Shadowmoor","8","","","","","","","","","",""
"1","0","Lead Astray","Judgment","14","","","","","","","","","",""
"1","0","Liquify","Torment","41","","","","","","","","","",""
"1","0","Neck Snap","Lorwyn","32","","","","","","","","","",""
"1","0","Orim's Touch","Invasion","23","","","","","","","","","",""
"2","0","Steel Sabotage","Mirrodin Besieged","33","","","","","","","","","",""
"8","0","Stream of Thought","Modern Horizons","71","","","","","","","","","",""
"1","0","Tramway Station","Streets of New Capenna","258","","","","","","","","","",""
"1","0","Usher of the Fallen","Kaldheim","35","","","","","","","","","",""
"2","0","Wicked Akuba","Champions of Kamigawa","150","","","","","","","","","",""
"1","0","Arcbound Whelp","Modern Horizons 2","113","","","","","","","","","",""
"1","0","Catapult Fodder // Catapult Captain","Innistrad: Crimson Vow","99","","","","","","","","","",""
"1","0","Flay Essence","Modern Horizons 2","85","","","","","","","","","",""
"1","0","Lapis Orb of Dragonkind","Commander Legends: Battle for Baldur's Gate","82","","","","","","","","","",""
"1","0","Mourning Thrull","Guildpact","146","","","","","","","","","",""
"1","0","Raze the Effigy","Innistrad: Midnight Hunt","156","","","","","","","","","",""
"2","0","Shield-Wall Sentinel","Dominaria United","238","","","","","","","","","",""
"4","0","Shock","Battlebond","184","","","","","","","","","",""
"1","0","Spotter Thopter","The Brothers' War","80","","","foil","","","","","","",""
"3","0","Strength in Numbers","Time Spiral","224","","","","","","","","","",""
"1","0","Suspicious Bookcase","Streets of New Capenna","245","","","","","","","","","",""
"1","0","Wandering Mind","Innistrad: Crimson Vow","251","","","","","","","","","",""
"1","0","Annoyed Altisaur","Double Masters 2022","134","","","","","","","","","",""
"1","0","Elven Bow","Kaldheim","166","","","","","","","","","",""
"2","0","Excommunicate","Shards of Alara","11","","","","","","","","","",""
"1","0","Hard Evidence","Modern Horizons 2","46","","","","","","","","","",""
"1","0","Anticipate","Core Set 2020","45","","","","","","","","","",""
"1","0","Beacon Hawk","Dissension","3","","","","","","","","","",""
"1","0","Beamtown Beatstick","March of the Machine","131","","","","","","","","","",""
"1","0","Bite Down","Dominaria United","155","","","","","","","","","",""
"1","0","Bloodsky Berserker","Kaldheim","80","","","","","","","","","",""
"1","0","Braids's Frightful Return","Dominaria United","85","","","","","","","","","",""
"1","0","Breathless Knight","Modern Horizons 2","187","","","","","","","","","",""
"2","0","Brinebarrow Intruder","Kaldheim","49","","","","","","","","","",""
"2","0","Carom","Dissension","6","","","","","","","","","",""
"1","0","Circle of Confinement","Innistrad: Crimson Vow","7","","","","","","","","","",""
"1","0","Convolute","Ravnica: City of Guilds","41","","","","","","","","","",""
"1","0","Dedicated Martyr","Odyssey","16","","","","","","","","","",""
"1","0","Defend the Celestus","Innistrad: Midnight Hunt","182","","","","","","","","","",""
"1","0","Defend the Hearth","Theros","156","","","","","","","","","",""
"1","0","Disperse","Morningtide","31","","","","","","","","","",""
"1","0","Duress","Core Set 2019","94","","","","","","","","","",""
"1","0","Duress","Core Set 2021","96","","","","","","","","","",""
"3","0","Duress","Dragons of Tarkir","98","","","","","","","","","",""
"1","0","Dusk Mangler","Streets of New Capenna","77","","","","","","","","","",""
"1","0","Dúnedain Blade","The Lord of the Rings: Tales of Middle-earth","6","","","foil","","","","","","",""
"1","0","Eel Umbra","Double Masters 2022","48","","","","","","","","","",""
"1","0","Elven Farsight","The Lord of the Rings: Tales of Middle-earth","161","","","","","","","","","",""
"4","0","Elvish Visionary","Commander Legends","223","","","","","","","","","",""
"3","0","Embolden","Odyssey","22","","","","","","","","","",""
"3","0","Ertai's Scorn","Dominaria United","48","","","","","","","","","",""
"2","0","Fatal Grudge","Streets of New Capenna","187","","","","","","","","","",""
"1","0","Fires of Victory","Dominaria United","123","","","","","","","","","",""
"2","0","First-Sphere Gargantua","Modern Horizons","91","","","","","","","","","",""
"4","0","Fistful of Force","Lorwyn","212","","","","","","","","","",""
"1","0","Freewind Equenaut","Dissension","9","","","","","","","","","",""
"1","0","Gorbag of Minas Morgul","The Lord of the Rings: Tales of Middle-earth","86","","","","","","","","","",""
"1","0","Gurgling Anointer","The Brothers' War","104","","","","","","","","","",""
"1","0","Halsin, Emerald Archdruid","Commander Legends: Battle for Baldur's Gate","408","","","","","","","","","",""
"1","0","Harsh Sustenance","Fate Reforged","154","","","","","","","","","",""
"1","0","Herd Gnarr","Time Spiral","200","","","","","","","","","",""
"1","0","Hero's Heirloom","Dominaria United","231","","","","","","","","","",""
"2","0","Hired Poisoner","Guilds of Ravnica","72","","","","","","","","","",""
"1","0","Impulse","Dominaria United","55","","","","","","","","","",""
"1","0","Ivy Lane Denizen","Jumpstart 2022","680","","","","","","","","","",""
"3","0","Jaspera Sentinel","Kaldheim","178","","","","","","","","","",""
"4","0","Kitchen Imp","Modern Horizons 2","89","","","","","","","","","",""
"2","0","Life Goes On","Core Set 2021","192","","","","","","","","","",""
"2","0","Lightning Strike","Dominaria United","137","","","","","","","","","",""
"1","0","Lithoform Blight","Zendikar Rising","109","","","","","","","","","",""
"1","0","Moment of Truth","March of the Machine","67","","","","","","","","","",""
"1","0","Mr. Orfeo, the Boulder","Streets of New Capenna","204","","","","","","","","","",""
"1","0","Murder","Streets of New Capenna","88","","","","","","","","","",""
"1","0","Night Clubber","Streets of New Capenna","89","","","","","","","","","",""
"2","0","Nishoba Brawler","Dominaria United","174","","","","","","","","","",""
"1","0","Parasitic Grasp","Innistrad: Crimson Vow","123","","","","","","","","","",""
"3","0","Pillar of Flame","Avacyn Restored","149","","","","","","","","","",""
"1","0","Provoke the Trolls","Kaldheim","144","","","","","","","","","",""
